"checking_status","duration","credit_history","loan_purpose","credit_amount","savings_status","employment","installment_commitment","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","credit_class","gender","credit_class_binary"
"<0",6,"critical/order existing credit","Consumer goods",1169,"<100",">=7",4,"none",4,"real estate",67,"stores","own",2,"skilled",0,1,1,"good",0,1
"0<=X<200",48,"existing paid","Consumer goods",5951,"<100","1<=X<4",2,"none",2,"real estate",22,"stores","own",1,"skilled",0,0,1,"bad",1,0
"no checking",12,"critical/order existing credit","education",2096,"<100","4<=X<7",2,"none",3,"real estate",49,"stores","own",1,"unskilled resident",1,0,1,"good",0,1
"<0",42,"existing paid","Consumer goods",7882,"<100","4<=X<7",2,"guarantor",4,"life insurance",45,"stores","for free",1,"skilled",1,0,1,"good",0,1
"<0",24,"delayed previously","Car Purchase",4870,"<100","1<=X<4",3,"none",4,"no known property",53,"stores","for free",2,"skilled",1,0,1,"bad",0,0
"no checking",36,"existing paid","education",9055,"<100","1<=X<4",2,"none",4,"no known property",35,"stores","for free",1,"unskilled resident",1,1,1,"good",0,1
"no checking",24,"existing paid","Consumer goods",2835,"500<=X<1000",">=7",3,"none",4,"life insurance",53,"stores","own",1,"skilled",0,0,1,"good",0,1
"0<=X<200",36,"existing paid","Car Purchase",6948,"<100","1<=X<4",2,"none",2,"car",35,"stores","rent",1,"high qualified",0,1,1,"good",0,1
"no checking",12,"existing paid","Consumer goods",3059,">=1000","4<=X<7",2,"none",4,"real estate",61,"stores","own",1,"unskilled resident",0,0,1,"good",0,1
"0<=X<200",30,"critical/order existing credit","Car Purchase",5234,"<100","unemployed",4,"none",2,"car",28,"stores","own",2,"high qualified",0,0,1,"bad",0,0
"0<=X<200",12,"existing paid","Car Purchase",1295,"<100","<1",3,"none",1,"car",25,"stores","rent",1,"skilled",0,0,1,"bad",1,0
"<0",48,"existing paid","business",4308,"<100","<1",3,"none",4,"life insurance",24,"stores","rent",1,"skilled",0,0,1,"bad",1,0
"0<=X<200",12,"existing paid","Consumer goods",1567,"<100","1<=X<4",1,"none",1,"car",22,"stores","own",1,"skilled",0,1,1,"good",1,1
"<0",24,"critical/order existing credit","Car Purchase",1199,"<100",">=7",4,"none",4,"car",60,"stores","own",2,"unskilled resident",0,0,1,"bad",0,0
"<0",15,"existing paid","Car Purchase",1403,"<100","1<=X<4",2,"none",4,"car",28,"stores","rent",1,"skilled",0,0,1,"good",1,1
"<0",24,"existing paid","Consumer goods",1282,"100<=X<500","1<=X<4",4,"none",2,"car",32,"stores","own",1,"skilled",0,0,1,"bad",1,0
"no checking",24,"critical/order existing credit","Consumer goods",2424,"<100",">=7",4,"none",4,"life insurance",43,"stores","own",2,"skilled",0,0,1,"good",0,1
"<0",30,"no credits/all paid","business",8072,"<100","<1",2,"none",3,"car",25,"bank","own",3,"skilled",0,0,1,"good",0,1
"0<=X<200",24,"existing paid","Car Purchase",12579,"<100",">=7",4,"none",4,"no known property",44,"stores","for free",1,"high qualified",0,1,1,"bad",1,0
"no checking",24,"existing paid","Consumer goods",3430,"500<=X<1000",">=7",3,"none",2,"car",31,"stores","own",1,"skilled",1,1,1,"good",0,1
"no checking",9,"critical/order existing credit","Car Purchase",2134,"<100","1<=X<4",4,"none",4,"car",48,"stores","own",3,"skilled",0,1,1,"good",0,1
"<0",6,"existing paid","Consumer goods",2647,"500<=X<1000","1<=X<4",2,"none",3,"real estate",44,"stores","rent",1,"skilled",1,0,1,"good",0,1
"<0",10,"critical/order existing credit","Car Purchase",2241,"<100","<1",1,"none",3,"real estate",48,"stores","rent",2,"unskilled resident",1,0,0,"good",0,1
"0<=X<200",12,"critical/order existing credit","Car Purchase",1804,"100<=X<500","<1",3,"none",4,"life insurance",44,"stores","own",1,"skilled",0,0,1,"good",0,1
"no checking",10,"critical/order existing credit","Consumer goods",2069,"<100","1<=X<4",2,"none",1,"car",26,"stores","own",2,"skilled",0,0,0,"good",0,1
"<0",6,"existing paid","Consumer goods",1374,"<100","1<=X<4",1,"none",2,"real estate",36,"bank","own",1,"unskilled resident",0,1,1,"good",0,1
"no checking",6,"no credits/all paid","Consumer goods",426,"<100",">=7",4,"none",4,"car",39,"stores","own",1,"unskilled resident",0,0,1,"good",0,1
">=200",12,"no credits/all paid","Consumer goods",409,">=1000","1<=X<4",3,"none",3,"real estate",42,"stores","rent",2,"skilled",0,0,1,"good",1,1
"0<=X<200",7,"existing paid","Consumer goods",2415,"<100","1<=X<4",3,"guarantor",2,"real estate",34,"stores","own",1,"skilled",0,0,1,"good",0,1
"<0",60,"delayed previously","business",6836,"<100",">=7",3.61,"none",4,"no known property",63,"stores","own",2,"skilled",0,1,1,"bad",0,0
"0<=X<200",18,"existing paid","business",1913,">=1000","<1",3,"none",3,"real estate",36,"bank","own",1,"skilled",0,1,1,"good",0,1
"<0",24,"existing paid","Consumer goods",4020,"<100","1<=X<4",2,"none",2,"car",27,"stores","own",1,"skilled",0,0,1,"good",0,1
"0<=X<200",18,"existing paid","Car Purchase",5866,"100<=X<500","1<=X<4",2.15,"none",2,"car",30,"stores","own",2,"skilled",0,1,1,"good",0,1
"no checking",12,"critical/order existing credit","business",1264,"100<=X<500",">=7",4,"none",4,"no known property",57,"stores","rent",1,"unskilled resident",0,0,1,"good",0,1
">=200",12,"existing paid","Consumer goods",1474,"<100","<1",4,"none",1,"life insurance",33,"bank","own",1,"high qualified",0,1,1,"good",1,1
"0<=X<200",45,"critical/order existing credit","Consumer goods",4746,"<100","<1",4,"none",2,"life insurance",25,"stores","own",2,"unskilled resident",0,0,1,"bad",0,0
"no checking",48,"critical/order existing credit","education",6110,"<100","1<=X<4",1,"none",3,"no known property",31,"bank","for free",1,"skilled",0,1,1,"good",0,1
">=200",18,"existing paid","Consumer goods",2100,"<100","1<=X<4",4,"co applicant",2,"real estate",37,"stores","own",1,"skilled",0,0,1,"bad",0,0
">=200",10,"existing paid","Consumer goods",1225,"<100","1<=X<4",2,"none",2,"car",37,"stores","own",1,"skilled",0,1,1,"good",0,1
"0<=X<200",9,"existing paid","Consumer goods",458,"<100","1<=X<4",4,"none",3,"real estate",24,"stores","own",1,"skilled",0,0,1,"good",0,1
"no checking",30,"existing paid","Consumer goods",2333,"500<=X<1000",">=7",4,"none",2,"car",30,"bank","own",1,"high qualified",0,0,1,"good",0,1
"0<=X<200",12,"existing paid","Consumer goods",1158,"500<=X<1000","1<=X<4",3,"none",1,"car",26,"stores","own",1,"skilled",0,1,1,"good",0,1
"0<=X<200",18,"delayed previously","repairs",3695,"<100","1<=X<4",2,"none",4,"real estate",44,"stores","own",1,"unskilled resident",1,1,1,"good",0,1
"<0",30,"critical/order existing credit","Car Purchase",4487,"100<=X<500","4<=X<7",1,"none",4,"car",24,"stores","rent",2,"skilled",0,0,1,"good",0,1
"<0",26,"critical/order existing credit","Car Purchase",6143,"<100",">=7",4,"none",4,"no known property",58,"stores","for free",2,"unskilled resident",0,0,1,"bad",1,0
"no checking",11,"critical/order existing credit","Car Purchase",1393,"<100","<1",4,"none",4,"car",35,"stores","own",2,"high qualified",0,0,1,"good",1,1
"no checking",36,"existing paid","Consumer goods",2299,"500<=X<1000",">=7",4,"none",4,"car",39,"stores","own",1,"skilled",0,0,1,"good",0,1
"<0",6,"existing paid","Car Purchase",1352,"500<=X<1000","unemployed",1,"none",2,"life insurance",23,"stores","rent",1,"unemp/unskilled non res",0,1,1,"good",1,1
"no checking",11,"critical/order existing credit","Car Purchase",7228,"<100","1<=X<4",1,"none",4,"life insurance",39,"stores","own",2,"unskilled resident",0,0,1,"good",0,1
"no checking",12,"existing paid","Consumer goods",2073,"100<=X<500","1<=X<4",4,"co applicant",2,"real estate",28,"stores","own",1,"skilled",0,0,1,"good",1,1
"0<=X<200",24,"delayed previously","Consumer goods",2333,">=1000","<1",4,"none",2,"life insurance",29,"bank","own",1,"unskilled resident",0,0,1,"good",0,1
"0<=X<200",27,"delayed previously","Car Purchase",5965,"<100",">=7",1,"none",3,"car",30,"stores","own",2,"high qualified",0,1,1,"good",0,1
"no checking",12,"existing paid","Consumer goods",1262,"<100","1<=X<4",3,"none",2,"car",25,"stores","own",1,"skilled",0,0,1,"good",0,1
"no checking",18,"existing paid","Car Purchase",3378,"500<=X<1000","1<=X<4",2,"none",1,"life insurance",31,"stores","own",1,"skilled",0,1,1,"good",0,1
"0<=X<200",36,"delayed previously","Car Purchase",2225,"<100",">=7",4,"none",4,"no known property",57,"bank","for free",2,"skilled",0,1,1,"bad",0,0
"no checking",6,"no credits/all paid","Car Purchase",783,"500<=X<1000","1<=X<4",1,"guarantor",2,"real estate",26,"stores","own",1,"unskilled resident",1,0,1,"good",0,1
"0<=X<200",12,"existing paid","Consumer goods",6468,"<100","unemployed",2,"none",1,"no known property",52,"stores","own",1,"high qualified",0,1,1,"bad",0,0
"no checking",20,"critical/order existing credit","Consumer goods",9566,"<100","1<=X<4",2,"none",2,"car",31,"stores","own",2,"skilled",0,0,1,"good",1,1
">=200",18,"existing paid","Car Purchase",1961,"<100",">=7",3,"none",2,"car",23,"stores","own",1,"high qualified",0,0,1,"good",1,1
"<0",36,"critical/order existing credit","Consumer goods",6229,"<100","<1",4,"co applicant",4,"no known property",23,"stores","rent",2,"unskilled resident",0,1,1,"bad",1,0
"0<=X<200",9,"existing paid","business",1391,"<100","1<=X<4",2,"none",1,"real estate",27,"stores","own",1,"skilled",0,1,1,"good",0,1
"0<=X<200",15,"critical/order existing credit","Consumer goods",1537,"<100",">=7",4,"guarantor",4,"real estate",50,"stores","own",2,"skilled",0,1,1,"good",0,1
"0<=X<200",36,"no credits/all paid","business",1953,"<100",">=7",4,"none",4,"no known property",61,"stores","for free",1,"high qualified",0,1,1,"bad",0,0
"0<=X<200",48,"no credits/all paid","business",14421,"<100","1<=X<4",2,"none",2,"car",25,"stores","own",1,"skilled",0,1,1,"bad",0,0
"no checking",24,"existing paid","Consumer goods",3181,"<100","<1",4,"none",4,"life insurance",26,"stores","own",1,"skilled",0,1,1,"good",1,1
"no checking",27,"existing paid","repairs",5190,"<100",">=7",4,"none",4,"life insurance",48,"stores","own",4,"skilled",1,1,1,"good",0,1
"no checking",12,"existing paid","Consumer goods",2171,"<100","<1",2,"none",2,"car",29,"bank","own",1,"skilled",0,0,1,"good",1,1
"0<=X<200",12,"existing paid","Consumer goods",1007,">=1000","1<=X<4",4,"none",1,"real estate",22,"stores","own",1,"skilled",0,0,1,"good",0,1
"no checking",36,"existing paid","education",1819,"<100","1<=X<4",4,"none",4,"no known property",37,"stores","for free",1,"skilled",0,1,1,"bad",0,0
